pid,process_name,access_label,success,error_code,error_message
4884,svchost.exe,QUERY_INFORMATION | VM_READ,0,5,"Access denied"
4884,svchost.exe,PROCESS_VM_OPERATION,0,5,"Access denied"
4884,svchost.exe,PROCESS_VM_WRITE,0,5,"Access denied"
4884,svchost.exe,PROCESS_CREATE_THREAD,0,5,"Access denied"
5356,CodeMeter.exe,PROCESS_QUERY_INFORMATION,0,5,"Access denied"
5356,CodeMeter.exe,PROCESS_VM_READ,0,5,"Access denied"
5356,CodeMeter.exe,QUERY_INFORMATION | VM_READ,0,5,"Access denied"
5356,CodeMeter.exe,PROCESS_VM_OPERATION,0,5,"Access denied"
5356,CodeMeter.exe,PROCESS_VM_WRITE,0,5,"Access denied"
5356,CodeMeter.exe,PROCESS_CREATE_THREAD,0,5,"Access denied"
6016,svchost.exe,PROCESS_QUERY_INFORMATION,0,5,"Access denied"
6016,svchost.exe,PROCESS_VM_READ,0,5,"Access denied"
6016,svchost.exe,QUERY_INFORMATION | VM_READ,0,5,"Access denied"
6016,svchost.exe,PROCESS_VM_OPERATION,0,5,"Access denied"
6016,svchost.exe,PROCESS_VM_WRITE,0,5,"Access denied"
6016,svchost.exe,PROCESS_CREATE_THREAD,0,5,"Access denied"
6688,svchost.exe,PROCESS_QUERY_INFORMATION,0,5,"Access denied"
6688,svchost.exe,PROCESS_VM_READ,0,5,"Access denied"
6688,svchost.exe,QUERY_INFORMATION | VM_READ,0,5,"Access denied"
6688,svchost.exe,PROCESS_VM_OPERATION,0,5,"Access denied"
6688,svchost.exe,PROCESS_VM_WRITE,0,5,"Access denied"
6688,svchost.exe,PROCESS_CREATE_THREAD,0,5,"Access denied"
7392,svchost.exe,PROCESS_QUERY_INFORMATION,0,5,"Access denied"
7392,svchost.exe,PROCESS_VM_READ,0,5,"Access denied"
7392,svchost.exe,QUERY_INFORMATION | VM_READ,0,5,"Access denied"
7392,svchost.exe,PROCESS_VM_OPERATION,0,5,"Access denied"
7392,svchost.exe,PROCESS_VM_WRITE,0,5,"Access denied"
7392,svchost.exe,PROCESS_CREATE_THREAD,0,5,"Access denied"
7536,svchost.exe,PROCESS_QUERY_INFORMATION,0,5,"Access denied"
7536,svchost.exe,PROCESS_VM_READ,0,5,"Access denied"
7536,svchost.exe,QUERY_INFORMATION | VM_READ,0,5,"Access denied"
7536,svchost.exe,PROCESS_VM_OPERATION,0,5,"Access denied"
7536,svchost.exe,PROCESS_VM_WRITE,0,5,"Access denied"
7536,svchost.exe,PROCESS_CREATE_THREAD,0,5,"Access denied"
7776,svchost.exe,PROCESS_QUERY_INFORMATION,0,5,"Access denied"
7776,svchost.exe,PROCESS_VM_READ,0,5,"Access denied"
7776,svchost.exe,QUERY_INFORMATION | VM_READ,0,5,"Access denied"
7776,svchost.exe,PROCESS_VM_OPERATION,0,5,"Access denied"
7776,svchost.exe,PROCESS_VM_WRITE,0,5,"Access denied"
7776,svchost.exe,PROCESS_CREATE_THREAD,0,5,"Access denied"
8188,dllhost.exe,PROCESS_QUERY_INFORMATION,0,5,"Access denied"
8188,dllhost.exe,PROCESS_VM_READ,0,5,"Access denied"
8188,dllhost.exe,QUERY_INFORMATION | VM_READ,0,5,"Access denied"
8188,dllhost.exe,PROCESS_VM_OPERATION,0,5,"Access denied"
8188,dllhost.exe,PROCESS_VM_WRITE,0,5,"Access denied"
8188,dllhost.exe,PROCESS_CREATE_THREAD,0,5,"Access denied"
9076,SearchIndexer.exe,PROCESS_QUERY_INFORMATION,0,5,"Access denied"
9076,SearchIndexer.exe,PROCESS_VM_READ,0,5,"Access denied"
9076,SearchIndexer.exe,QUERY_INFORMATION | VM_READ,0,5,"Access denied"
9076,SearchIndexer.exe,PROCESS_VM_OPERATION,0,5,"Access denied"
9076,SearchIndexer.exe,PROCESS_VM_WRITE,0,5,"Access denied"
9076,SearchIndexer.exe,PROCESS_CREATE_THREAD,0,5,"Access denied"
11024,svchost.exe,PROCESS_QUERY_INFORMATION,0,5,"Access denied"
11024,svchost.exe,PROCESS_VM_READ,0,5,"Access denied"
11024,svchost.exe,QUERY_INFORMATION | VM_READ,0,5,"Access denied"
11024,svchost.exe,PROCESS_VM_OPERATION,0,5,"Access denied"
11024,svchost.exe,PROCESS_VM_WRITE,0,5,"Access denied"
11024,svchost.exe,PROCESS_CREATE_THREAD,0,5,"Access denied"
10872,svchost.exe,PROCESS_QUERY_INFORMATION,0,5,"Access denied"
10872,svchost.exe,PROCESS_VM_READ,0,5,"Access denied"
10872,svchost.exe,QUERY_INFORMATION | VM_READ,0,5,"Access denied"
10872,svchost.exe,PROCESS_VM_OPERATION,0,5,"Access denied"
10872,svchost.exe,PROCESS_VM_WRITE,0,5,"Access denied"
10872,svchost.exe,PROCESS_CREATE_THREAD,0,5,"Access denied"
11384,svchost.exe,PROCESS_QUERY_INFORMATION,0,5,"Access denied"
11384,svchost.exe,PROCESS_VM_READ,0,5,"Access denied"
11384,svchost.exe,QUERY_INFORMATION | VM_READ,0,5,"Access denied"
11384,svchost.exe,PROCESS_VM_OPERATION,0,5,"Access denied"
11384,svchost.exe,PROCESS_VM_WRITE,0,5,"Access denied"
11384,svchost.exe,PROCESS_CREATE_THREAD,0,5,"Access denied"
8224,SecurityHealthService.exe,PROCESS_QUERY_INFORMATION,0,5,"Access denied"
8224,SecurityHealthService.exe,PROCESS_VM_READ,0,5,"Access denied"
8224,SecurityHealthService.exe,QUERY_INFORMATION | VM_READ,0,5,"Access denied"
8224,SecurityHealthService.exe,PROCESS_VM_OPERATION,0,5,"Access denied"
8224,SecurityHealthService.exe,PROCESS_VM_WRITE,0,5,"Access denied"
8224,SecurityHealthService.exe,PROCESS_CREATE_THREAD,0,5,"Access denied"
12456,svchost.exe,PROCESS_QUERY_INFORMATION,0,5,"Access denied"
12456,svchost.exe,PROCESS_VM_READ,0,5,"Access denied"
12456,svchost.exe,QUERY_INFORMATION | VM_READ,0,5,"Access denied"
12456,svchost.exe,PROCESS_VM_OPERATION,0,5,"Access denied"
12456,svchost.exe,PROCESS_VM_WRITE,0,5,"Access denied"
12456,svchost.exe,PROCESS_CREATE_THREAD,0,5,"Access denied"
5224,svchost.exe,PROCESS_QUERY_INFORMATION,0,5,"Access denied"
5224,svchost.exe,PROCESS_VM_READ,0,5,"Access denied"
5224,svchost.exe,QUERY_INFORMATION | VM_READ,0,5,"Access denied"
5224,svchost.exe,PROCESS_VM_OPERATION,0,5,"Access denied"
5224,svchost.exe,PROCESS_VM_WRITE,0,5,"Access denied"
5224,svchost.exe,PROCESS_CREATE_THREAD,0,5,"Access denied"
13688,svchost.exe,PROCESS_QUERY_INFORMATION,0,5,"Access denied"
13688,svchost.exe,PROCESS_VM_READ,0,5,"Access denied"
13688,svchost.exe,QUERY_INFORMATION | VM_READ,0,5,"Access denied"
13688,svchost.exe,PROCESS_VM_OPERATION,0,5,"Access denied"
13688,svchost.exe,PROCESS_VM_WRITE,0,5,"Access denied"
13688,svchost.exe,PROCESS_CREATE_THREAD,0,5,"Access denied"
10088,SgrmBroker.exe,PROCESS_QUERY_INFORMATION,0,5,"Access denied"
10088,SgrmBroker.exe,PROCESS_VM_READ,0,5,"Access denied"
10088,SgrmBroker.exe,QUERY_INFORMATION | VM_READ,0,5,"Access denied"
10088,SgrmBroker.exe,PROCESS_VM_OPERATION,0,5,"Access denied"
10088,SgrmBroker.exe,PROCESS_VM_WRITE,0,5,"Access denied"
10088,SgrmBroker.exe,PROCESS_CREATE_THREAD,0,5,"Access denied"
15672,svchost.exe,PROCESS_QUERY_INFORMATION,0,5,"Access denied"
15672,svchost.exe,PROCESS_VM_READ,0,5,"Access denied"
15672,svchost.exe,QUERY_INFORMATION | VM_READ,0,5,"Access denied"
15672,svchost.exe,PROCESS_VM_OPERATION,0,5,"Access denied"
15672,svchost.exe,PROCESS_VM_WRITE,0,5,"Access denied"
15672,svchost.exe,PROCESS_CREATE_THREAD,0,5,"Access denied"
13040,svchost.exe,PROCESS_QUERY_INFORMATION,0,5,"Access denied"
13040,svchost.exe,PROCESS_VM_READ,0,5,"Access denied"
13040,svchost.exe,QUERY_INFORMATION | VM_READ,0,5,"Access denied"
13040,svchost.exe,PROCESS_VM_OPERATION,0,5,"Access denied"
13040,svchost.exe,PROCESS_VM_WRITE,0,5,"Access denied"
13040,svchost.exe,PROCESS_CREATE_THREAD,0,5,"Access denied"
6776,svchost.exe,PROCESS_QUERY_INFORMATION,0,5,"Access denied"
6776,svchost.exe,PROCESS_VM_READ,0,5,"Access denied"
6776,svchost.exe,QUERY_INFORMATION | VM_READ,0,5,"Access denied"
6776,svchost.exe,PROCESS_VM_OPERATION,0,5,"Access denied"
6776,svchost.exe,PROCESS_VM_WRITE,0,5,"Access denied"
6776,svchost.exe,PROCESS_CREATE_THREAD,0,5,"Access denied"
2288,svchost.exe,PROCESS_QUERY_INFORMATION,0,5,"Access denied"
2288,svchost.exe,PROCESS_VM_READ,0,5,"Access denied"
2288,svchost.exe,QUERY_INFORMATION | VM_READ,0,5,"Access denied"
2288,svchost.exe,PROCESS_VM_OPERATION,0,5,"Access denied"
2288,svchost.exe,PROCESS_VM_WRITE,0,5,"Access denied"
2288,svchost.exe,PROCESS_CREATE_THREAD,0,5,"Access denied"
12124,MoUsoCoreWorker.exe,PROCESS_QUERY_INFORMATION,0,5,"Access denied"
12124,MoUsoCoreWorker.exe,PROCESS_VM_READ,0,5,"Access denied"
12124,MoUsoCoreWorker.exe,QUERY_INFORMATION | VM_READ,0,5,"Access denied"
12124,MoUsoCoreWorker.exe,PROCESS_VM_OPERATION,0,5,"Access denied"
12124,MoUsoCoreWorker.exe,PROCESS_VM_WRITE,0,5,"Access denied"
12124,MoUsoCoreWorker.exe,PROCESS_CREATE_THREAD,0,5,"Access denied"
3432,svchost.exe,PROCESS_QUERY_INFORMATION,0,5,"Access denied"
3432,svchost.exe,PROCESS_VM_READ,0,5,"Access denied"
3432,svchost.exe,QUERY_INFORMATION | VM_READ,0,5,"Access denied"
3432,svchost.exe,PROCESS_VM_OPERATION,0,5,"Access denied"
3432,svchost.exe,PROCESS_VM_WRITE,0,5,"Access denied"
